游戏服务器,所属游戏,文件夹,启动程序,配置文件
,GD深圳麻将newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\ShenZhenMaJiangServer.exe,D:\Game_广东_朋友场new\广东深圳麻将朋友场.xml
,GD湛江麻将newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\ZhanJiangMaJiangServer.exe,D:\Game_广东_朋友场new\广东湛江麻将朋友场.xml
,FJ厦门麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\xiamenmajiangserver.exe,D:\Game_福建_朋友场new\厦门麻将.xml
,FJ漳州麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\ZhangZhouMaJiangServer.exe,D:\Game_福建_朋友场new\漳州麻将.xml
,FJ仙游麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\XianYouMaJiangServer.exe,D:\Game_福建_朋友场new\仙游麻将.xml
,FJ福州麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\FuZhouMaJiangServer.exe,D:\Game_福建_朋友场new\福州麻将.xml
,FJ泉州麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\QuanZhouMaJiangServer.exe,D:\Game_福建_朋友场new\泉州麻将.xml
,FJ宁德麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\NingDeMaJiangServer.exe,D:\Game_福建_朋友场new\宁德麻将.xml
,FJ莆田麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\putianmajiangserver.exe,D:\Game_福建_朋友场new\莆田麻将.xml
,FJ三明麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\SanMingMaJiangServer.exe,D:\Game_福建_朋友场new\三明麻将.xml
,FJ龙岩麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\LongYanMaJiangServer.exe,D:\Game_福建_朋友场new\龙岩麻将.xml
,GD潮汕麻将newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\ChaoShanMaJiangServer.exe,D:\Game_广东_朋友场new\广东潮汕麻将朋友场.xml
,GD揭阳麻将newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\JieYangMaJiangServer.exe,D:\Game_广东_朋友场new\广东揭阳麻将朋友场.xml
,GD100张CS,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\GD100ZhangMaJiangServer.exe,D:\Game_广东_朋友场new\广东100张麻将朋友场.xml
,GD二人雀神newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\ErRenQueShenServer.exe,D:\Game_广东_朋友场new\广东二人雀神朋友场.xml
,GD红中王newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\HongZhongWangMaJiangServer.exe,D:\Game_广东_朋友场new\广东红中王麻将朋友场.xml
,GD锄大地newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\ChuDaDiServer.exe,D:\Game_广东_朋友场new\广东锄大地朋友场.xml
,FJ南平麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\nanpingmajiangserver.exe,D:\Game_福建_朋友场new\南平麻将.xml
,FJ晋江麻将newcs,D:\Game_福建_朋友场new,D:\Game_福建_朋友场new\JinJiangMaJiangServer.exe,D:\Game_福建_朋友场new\晋江麻将.xml
,大菠萝,D:\Game_福建_普通场new,D:\Game_福建_普通场new\DaBoLuoPuKeServer.exe,D:\Game_福建_普通场new\大菠萝扑克.xml
,FJ福州麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\FuZhouMaJiangServer.exe,D:\Game_福建_普通场new\福州麻将.xml
,FJ漳州麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\ZhangZhouMaJiangServer.exe,D:\Game_福建_普通场new\漳州麻将.xml
,GD锄大地new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\ChuDaDiServer.exe,D:\Game_广东_普通场new\广东锄大地普通场.xml
,GD广东推倒胡new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\TuiDaoHuMaJiangServer.exe,D:\Game_广东_普通场new\广东推倒胡麻将普通场.xml
,GD潮汕麻将new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\ChaoShanMaJiangServer.exe,D:\Game_广东_普通场new\广东潮汕麻将普通场.xml
,GD100张,D:\Game_广东_普通场new,D:\Game_广东_普通场new\GD100ZhangMaJiangServer.exe,D:\Game_广东_普通场new\广东100张麻将普通场.xml
,GD红中王new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\HongZhongWangMaJiangServer.exe,D:\Game_广东_普通场new\广东红中王麻将普通场.xml
,GD惠州庄new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\HuiZhouZhuangMaJiangServer.exe,D:\Game_广东_普通场new\广东惠州庄麻将普通场.xml
,GD揭阳麻将new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\JieYangMaJiangServer.exe,D:\Game_广东_普通场new\广东揭阳麻将普通场.xml
,GD鸡平胡new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\JiPingHuMaJiangServer.exe,D:\Game_广东_普通场new\广东鸡平胡麻将普通场.xml
,GD韶关麻将new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\ShaoGuanMaJiangServer.exe,D:\Game_广东_普通场new\广东韶关麻将普通场.xml
,GD深圳麻将new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\ShenZhenMaJiangServer.exe,D:\Game_广东_普通场new\广东深圳麻将普通场.xml
,GD湛江麻将new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\ZhanJiangMaJiangServer.exe,D:\Game_广东_普通场new\广东湛江麻将普通场.xml
,大厅地鼠,D:\捕鱼\地鼠\大厅地鼠,D:\捕鱼\地鼠\大厅地鼠\dishuServer.exe,D:\捕鱼\地鼠\大厅地鼠\大厅地鼠.xml
,赛狗,D:\捕鱼\赛狗\赛狗_棋牌_微乐,D:\捕鱼\赛狗\赛狗_棋牌_微乐\runningDog.exe,D:\捕鱼\赛狗\赛狗_棋牌_微乐\赛狗.xml
,疯狂牛仔,D:\捕鱼\套牛\疯狂牛仔,D:\捕鱼\套牛\疯狂牛仔\Taoniu.exe,D:\捕鱼\套牛\疯狂牛仔\疯狂牛仔.xml
,大厅牛仔1,D:\捕鱼\套牛\大厅牛仔,D:\捕鱼\套牛\大厅牛仔\Taoniu.exe,D:\捕鱼\套牛\大厅牛仔1\大厅牛仔1.xml
,赛狗2,D:\捕鱼\赛狗\赛狗2_捕鱼,D:\捕鱼\赛狗\赛狗2_捕鱼\runningDog.exe,D:\捕鱼\赛狗\赛狗2_捕鱼\赛狗2.xml
,捕鱼JS大厅2,D:\捕鱼\捕鱼大厅Js\捕鱼JS大厅2_ID_6790,D:\捕鱼\捕鱼大厅Js\捕鱼JS大厅2_ID_6790\CatchFishServer.exe,D:\捕鱼\捕鱼大厅Js\外网正式\捕鱼JS大厅2.xml
,捕鱼大厅2,D:\捕鱼\捕鱼大厅Lua\捕鱼大厅2,D:\捕鱼\捕鱼大厅Lua\捕鱼大厅2\CatchFishServer.exe,D:\捕鱼\捕鱼大厅Lua\外网正式\捕鱼大厅2.xml
,FJ宁德麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\NingDeMaJiangServer.exe,D:\Game_福建_普通场new\宁德麻将.xml
,FJ厦门麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\xiamenmajiangserver.exe,D:\Game_福建_普通场new\厦门麻将.xml
,FJ仙游麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\XianYouMaJiangServer.exe,D:\Game_福建_普通场new\仙游麻将.xml
,FJ三明麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\SanMingMaJiangServer.exe,D:\Game_福建_普通场new\三明麻将.xml
,FJ泉州麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\QuanZhouMaJiangServer.exe,D:\Game_福建_普通场new\泉州麻将.xml
,FJ莆田麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\putianmajiangserver.exe,D:\Game_福建_普通场new\莆田麻将.xml
,FJ南平麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\nanpingmajiangserver.exe,D:\Game_福建_普通场new\南平麻将.xml
,FJ龙岩麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\LongYanMaJiangServer.exe,D:\Game_福建_普通场new\龙岩麻将.xml
,FJ晋江麻将new,D:\Game_福建_普通场new,D:\Game_福建_普通场new\JinJiangMaJiangServer.exe,D:\Game_福建_普通场new\晋江麻将.xml
江西_陕西_山东_甘肃_宁夏,安康麻将,D:\Game_陕西_普通场new,D:\Game_陕西_普通场new\AnKangMaJiangServer.exe,D:\Game_陕西_普通场new\安康麻将.xml
,JiangXi赣州麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\GanZhouMjServer.exe,D:\Game_江西_普通场new\赣州麻将.xml
,JiangXi抚州麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\FuZhouMJServer.exe,D:\Game_江西_普通场new\抚州麻将.xml
,JiangXi上饶麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\ShangRaoMJServer.exe,D:\Game_江西_普通场new\上饶麻将.xml
,庆阳麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\QingYangMJServer.exe,D:\Game_甘肃_朋友场new\庆阳麻将.xml
,白银麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\BaiYinMJServer.exe,D:\Game_甘肃_朋友场new\白银麻将.xml
,陇南麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\BaiJiaoMJServer.exe,D:\Game_甘肃_朋友场new\陇南麻将.xml
,金昌麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\JinChangMJServer.exe,D:\Game_甘肃_朋友场new\金昌麻将.xml
,酒泉麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\JiuQuanMJServer.exe,D:\Game_甘肃_朋友场new\酒泉麻将.xml
,兰州麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\LanZhouMaJiangServer.exe,D:\Game_甘肃_朋友场new\兰州麻将.xml
,平凉麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\PingLiangMJServer.exe,D:\Game_甘肃_朋友场new\平凉麻将.xml
,嘉峪关麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\JiaYuGuanMJServer.exe,D:\Game_甘肃_朋友场new\嘉峪关麻将.xml
,定西麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\DingXiMJServer.exe,D:\Game_甘肃_朋友场new\定西麻将.xml
,临夏麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\LinXiaMJServer.exe,D:\Game_甘肃_朋友场new\临夏麻将.xml
,武威麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\WuWeiMJServer.exe,D:\Game_甘肃_朋友场new\武威麻将.xml
,天水麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\TianShuiMaJiangServer.exe,D:\Game_甘肃_朋友场new\天水麻将.xml
,张掖麻将cs,D:\Game_甘肃_朋友场new,D:\Game_甘肃_朋友场new\ZhangYeMaJiangServer.exe,D:\Game_甘肃_朋友场new\张掖麻将.xml
,白银麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\BaiYinMJServer.exe,D:\Game_甘肃_普通场new\白银麻将.xml
,庆阳麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\QingYangMJServer.exe,D:\Game_甘肃_普通场new\庆阳麻将.xml
,陇南麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\BaiJiaoMJServer.exe,D:\Game_甘肃_普通场new\陇南麻将.xml
,平凉麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\PingLiangMJServer.exe,D:\Game_甘肃_普通场new\平凉麻将.xml
,酒泉麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\JiuQuanMJServer.exe,D:\Game_甘肃_普通场new\酒泉麻将.xml
,临夏麻将new,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\LinXiaMJServer.exe,D:\Game_甘肃_普通场new\临夏麻将.xml
,兰州麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\LanZhouMaJiangServer.exe,D:\Game_甘肃_普通场new\兰州麻将.xml
,金昌麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\JinChangMJServer.exe,D:\Game_甘肃_普通场new\金昌麻将.xml
,嘉峪关麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\JiaYuGuanMJServer.exe,D:\Game_甘肃_普通场new\嘉峪关麻将.xml
,定西麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\DingXiMJServer.exe,D:\Game_甘肃_普通场new\定西麻将.xml
,天水麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\TianShuiMaJiangServer.exe,D:\Game_甘肃_普通场new\天水麻将.xml
,张掖麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\ZhangYeMaJiangServer.exe,D:\Game_甘肃_普通场new\张掖麻将.xml
,武威麻将,D:\Game_甘肃_普通场new,D:\Game_甘肃_普通场new\WuWeiMJServer.exe,D:\Game_甘肃_普通场new\武威麻将.xml
,二七王newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\ErQiWangServer.exe,D:\Game_江西_朋友场new\二七王.xml
,JiangXi萍乡麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\PingXiangMJServer.exe,D:\Game_江西_朋友场new\萍乡麻将.xml
,JiangXi景德镇麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\JingDeZhengMJServer.exe,D:\Game_江西_朋友场new\景德镇麻将.xml
,JiangXi南昌麻将newcs2,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\NanChangMJServer.exe,D:\Game_江西_朋友场new\南昌麻将2.xml
,JiangXi九江麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\JiuJiangMJServer.exe,D:\Game_江西_朋友场new\九江麻将.xml
,JiangXi吉安麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\JiAnMJServer.exe,D:\Game_江西_朋友场new\吉安麻将.xml
,过炸fr,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\GuoZhaServer.exe,D:\Game_江西_朋友场new\过炸fr.xml
,JiangXi赣州麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\GanZhouMjServer.exe,D:\Game_江西_朋友场new\赣州麻将.xml
,JiangXi抚州麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\FuZhouMJServer.exe,D:\Game_江西_朋友场new\抚州麻将.xml
,四团_朋友场,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\SiTuanServer.exe,D:\Game_江西_朋友场new\四团.xml
,万载麻将cs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\WanZaiMJServer.exe,D:\Game_江西_朋友场new\万载麻将.xml
,JiangXi宜春麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\YiChunMJServer.exe,D:\Game_江西_朋友场new\宜春麻将.xml
,JiangXi上饶麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\ShangRaoMJServer.exe,D:\Game_江西_朋友场new\上饶麻将.xml
,五十K新余cs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\XYWuShiKServer.exe,D:\Game_江西_朋友场new\新余 五十K.xml
,JiangXi鹰潭麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\YingTanMJServer.exe,D:\Game_江西_朋友场new\鹰潭麻将.xml
,窝龙fr,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\WoLongServer.exe,D:\Game_江西_朋友场new\窝龙.xml
,JiangXi新余麻将newcs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\XinYuMJServer.exe,D:\Game_江西_朋友场new\新余麻将.xml
,江西转转麻将cs,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\ZhuanZhuanMJServer.exe,D:\Game_江西_朋友场new\转转麻将.xml
,星子二七王fr,D:\Game_江西_朋友场new,D:\Game_江西_朋友场new\XingZiErQWServer.exe,D:\Game_江西_朋友场new\星子二七王.xml
,二七王,D:\Game_江西_普通场new,D:\Game_江西_普通场new\ErQiWangServer.exe,D:\Game_江西_普通场new\二七王.xml
,JiangXi南昌麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\NanChangMJServer.exe,D:\Game_江西_普通场new\南昌麻将.xml
,JiangXi萍乡麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\PingXiangMJServer.exe,D:\Game_江西_普通场new\萍乡麻将.xml
,JiangXi九江麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\JiuJiangMJServer.exe,D:\Game_江西_普通场new\九江麻将.xml
,JiangXi吉安麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\JiAnMJServer.exe,D:\Game_江西_普通场new\吉安麻将.xml
,JiangXi景德镇麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\JingDeZhengMJServer.exe,D:\Game_江西_普通场new\景德镇麻将.xml
,JiangXi红中麻将,D:\Game_江西_普通场new,D:\Game_江西_普通场new\HongZhongMJServer.exe,D:\Game_江西_普通场new\红中麻将.xml
,过炸,D:\Game_江西_普通场new,D:\Game_江西_普通场new\GuoZhaServer.exe,D:\Game_江西_普通场new\过炸.xml
,窝龙,D:\Game_江西_普通场new,D:\Game_江西_普通场new\WoLongServer.exe,D:\Game_江西_普通场new\窝龙.xml
,星子二七王,D:\Game_江西_普通场new,D:\Game_江西_普通场new\XingZiErQWServer.exe,D:\Game_江西_普通场new\星子二七王.xml
,天地癞子,D:\Game_江西_普通场new,D:\Game_江西_普通场new\TianDilzServer.exe,D:\Game_江西_普通场new\天地癞子.xml
,万载麻将,D:\Game_江西_普通场new,D:\Game_江西_普通场new\WanZaiMJServer.exe,D:\Game_江西_普通场new\万载麻将.xml
,江西转转麻将,D:\Game_江西_普通场new,D:\Game_江西_普通场new\ZhuanZhuanMJServer.exe,D:\Game_江西_普通场new\转转麻将.xml
,JiangXi鹰潭麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\YingTanMJServer.exe,D:\Game_江西_普通场new\鹰潭麻将.xml
,JiangXi新余麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\XinYuMJServer.exe,D:\Game_江西_普通场new\新余麻将.xml
,JiangXi宜春麻将new,D:\Game_江西_普通场new,D:\Game_江西_普通场new\YiChunMJServer.exe,D:\Game_江西_普通场new\宜春麻将.xml
,五十K新余,D:\Game_江西_普通场new,D:\Game_江西_普通场new\XYWuShiKServer.exe,D:\Game_江西_普通场new\新余五十K.xml
,NX西吉打报庄麻将newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\DaBaoZhuangMJServer.exe,D:\Game_宁夏_朋友场new\西吉打报庄麻将.xml
,宁夏红中麻将cs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\NXHongZhongMJServer.exe,D:\Game_宁夏_朋友场new\宁夏红中麻将.xml
,NX一口香newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\NingXiaYiKouMJServer.exe,D:\Game_宁夏_朋友场new\一口香.xml
,NX宁夏划水newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\HuaShuiMJServer.exe,D:\Game_宁夏_朋友场new\划水麻将.xml
,NX划船麻将newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\HuaChuanMJServer.exe,D:\Game_宁夏_朋友场new\划船麻将.xml
,NX海原麻将newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\HaiYuanMJServer.exe,D:\Game_宁夏_朋友场new\海原麻将.xml
,NX宁夏捉鸟newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\GuYuanMJServer.exe,D:\Game_宁夏_朋友场new\捉鸟麻将.xml
,NX石嘴山麻将newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\ShiZuiShanMJServer.exe,D:\Game_宁夏_朋友场new\石嘴山麻将.xml
,NX同心麻将newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\TongXinMJServer.exe,D:\Game_宁夏_朋友场new\同心麻将.xml
,NX银川麻将newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\YinChuanMJServer.exe,D:\Game_宁夏_朋友场new\银川麻将.xml
,NX新捉鸟鸟newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\XinZhuoNiaoNiaoServer.exe,D:\Game_宁夏_朋友场new\新捉鸟鸟.xml
,NX西吉捉鸟麻将newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\XiJiZhuoNiaoMJServer.exe,D:\Game_宁夏_朋友场new\西吉捉鸟麻将.xml
,NX吴忠麻将newcs,D:\Game_宁夏_朋友场new,D:\Game_宁夏_朋友场new\WuZhongMJServer.exe,D:\Game_宁夏_朋友场new\吴忠麻将.xml
,NX西吉打报庄麻将new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\DaBaoZhuangMJServer.exe,D:\Game_宁夏_普通场new\西吉打报庄麻将.xml
,NX一口香new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\NingXiaYiKouMJServer.exe,D:\Game_宁夏_普通场new\一口香.xml
,宁夏红中麻将,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\NXHongZhongMJServer.exe,D:\Game_宁夏_普通场new\宁夏红中麻将.xml
,NX宁夏划水new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\HuaShuiMJServer.exe,D:\Game_宁夏_普通场new\划水麻将.xml
,NX划船麻将new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\HuaChuanMJServer.exe,D:\Game_宁夏_普通场new\划船麻将.xml
,NX海原麻将new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\HaiYuanMJServer.exe,D:\Game_宁夏_普通场new\海原麻将.xml
,NX宁夏捉鸟new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\GuYuanMJServer.exe,D:\Game_宁夏_普通场new\捉鸟麻将.xml
,NX石嘴山麻将new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\ShiZuiShanMJServer.exe,D:\Game_宁夏_普通场new\石嘴山麻将.xml
,NX中卫麻将new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\ZhongWeiMJServer.exe,D:\Game_宁夏_普通场new\中卫麻将.xml
,NX新捉鸟鸟new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\XinZhuoNiaoNiaoServer.exe,D:\Game_宁夏_普通场new\新捉鸟鸟麻将.xml
,NX银川麻将new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\YinChuanMJServer.exe,D:\Game_宁夏_普通场new\银川麻将.xml
,NX吴忠麻将new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\WuZhongMJServer.exe,D:\Game_宁夏_普通场new\吴忠麻将.xml
,NX西吉捉鸟麻将new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\XiJiZhuoNiaoMJServer.exe,D:\Game_宁夏_普通场new\西吉捉鸟麻将.xml
,NX同心麻将new,D:\Game_宁夏_普通场new,D:\Game_宁夏_普通场new\TongXinMJServer.exe,D:\Game_宁夏_普通场new\同心麻将.xml
,SD东营推到胡cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\DongYingTDH_MJServer.exe,D:\Game_山东_朋友场new\东营推到胡.xml
,SD日照麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\RiZhaoMJServer.exe,D:\Game_山东_朋友场new\日照麻将.xml
,SD青岛麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\QDMJServer.exe,D:\Game_山东_朋友场new\青岛麻将.xml
,SD东营麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\DongYingDH_MJServer.exe,D:\Game_山东_朋友场new\东营麻将.xml
,SD德州麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\DeZhouMJServer.exe,D:\Game_山东_朋友场new\德州麻将.xml
,聊城麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\LiaoChengMJServer.exe,D:\Game_山东_朋友场new\聊城麻将.xml
,青岛保皇_朋友场,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\QDBaoHuangServer.exe,D:\Game_山东_朋友场new\青岛保皇.xml
,SD临沂麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\LinYiMJServer.exe,D:\Game_山东_朋友场new\临沂麻将.xml
,莱芜麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\LaiWuMJServer.exe,D:\Game_山东_朋友场new\莱芜麻将.xml
,SD滨州麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\BinZhouMJServer.exe,D:\Game_山东_朋友场new\滨州麻将.xml
,SD济宁麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\JiNingMJServer.exe,D:\Game_山东_朋友场new\济宁麻将.xml
,SD济南麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\JiNanMJServer.exe,D:\Game_山东_朋友场new\济南麻将.xml
,SD菏泽麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\HeZeMJServer.exe,D:\Game_山东_朋友场new\菏泽麻将.xml
,SD枣庄麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\ZaoZhuangMJServer.exe,D:\Game_山东_朋友场new\枣庄麻将.xml
,SD淄博麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\ZiBoMJServer.exe,D:\Game_山东_朋友场new\淄博麻将.xml
,SD泰安麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\TaiAnMJServer.exe,D:\Game_山东_朋友场new\泰安麻将.xml
,SD烟台麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\YanTaiMJServer.exe,D:\Game_山东_朋友场new\烟台麻将.xml
,威海保皇_朋友场,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\WHBaoHuangServer.exe,D:\Game_山东_朋友场new\威海保皇.xml
,SD潍坊麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\WeiFangMJServer.exe,D:\Game_山东_朋友场new\潍坊麻将.xml
,SD威海麻将cs,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\WHMJServer.exe,D:\Game_山东_朋友场new\威海麻将.xml
,潍坊保皇_朋友场,D:\Game_山东_朋友场new,D:\Game_山东_朋友场new\WFBaoHuangServer.exe,D:\Game_山东_朋友场new\潍坊保皇.xml
,SD东营推到胡,D:\Game_山东_普通场new,D:\Game_山东_普通场new\DongYingTDH_MJServer.exe,D:\Game_山东_普通场new\东营推倒胡.xml
,SD东营麻将,D:\Game_山东_普通场new,D:\Game_山东_普通场new\DongYingDH_MJServer.exe,D:\Game_山东_普通场new\东营麻将.xml
,SD德州麻将,D:\Game_山东_普通场new,D:\Game_山东_普通场new\DeZhouMJServer.exe,D:\Game_山东_普通场new\德州麻将.xml
,SD菏泽麻将,D:\Game_山东_普通场new,D:\Game_山东_普通场new\HeZeMJServer.exe,D:\Game_山东_普通场new\菏泽麻将.xml
